name,sgnum,numpeaks
1502773_0050,19,50
1502775_0050,2,98
1502779_0050,14,99
1502782_0050,2,108
1502790_0050,2,35
1502792_0050,19,23
1502794_0050,19,59
1502795_0050,4,59
1502796_0050,4,33
1502798_0050,18,12
1502799_0050,19,52
1502806_0050,19,23
1502808_0050,4,38
1502811_0050,19,23
1502812_0050,19,9
1502814_0050,19,43
1502818_0050,15,34
1502820_0050,14,33
1502827_0050,19,53
1502829_0050,19,32
1502835_0050,19,27
1502836_0050,19,69
1502838_0050,19,20
1502839_0050,19,54
1502844_0050,14,49
1502845_0050,56,15
1502848_0050,62,35
1502853_0050,19,41
1502858_0050,9,18
1502860_0050,4,38
1502865_0050,4,70
1502873_0050,14,37
1502874_0050,2,40
1502882_0050,2,81
1502889_0050,14,31
1502909_0050,19,25
1502912_0050,14,39
1502914_0050,19,103
1502922_0050,14,27
1502923_0050,2,42
1502926_0050,19,37
1502927_0050,14,43
1502937_0050,19,32
1502938_0050,9,45
1502942_0050,4,57
1502944_0050,19,33
1502945_0050,61,69
1502946_0050,2,84
1502948_0050,14,20
1502951_0050,2,34
1502954_0050,14,14
1502963_0050,86,43
1502964_0050,2,81
1502965_0050,2,41
1502967_0050,9,31
1502973_0050,14,34
1502978_0050,152,24
1502980_0050,14,21
1502990_0050,61,31
1502993_0050,4,19
1502995_0050,19,40
1502999_0050,14,35
1503009_0050,19,25
1503010_0050,14,57
1503015_0050,2,23
1503016_0050,2,31
1503020_0050,19,24
1503021_0050,19,87
1503022_0050,9,34
1503025_0050,33,14
1503035_0050,29,8
1503057_0050,14,31
1503060_0050,4,37
1503061_0050,14,45
1503066_0050,2,57
1503067_0050,19,40
1503069_0050,2,49
1503071_0050,2,61
1503074_0050,2,36
1503076_0050,14,12
1503077_0050,19,22
1503078_0050,14,37
1503079_0050,19,22
1503080_0050,4,98
1503083_0050,19,52
1503084_0050,78,26
1503086_0050,14,78
1503090_0050,13,16
1503091_0050,60,18
1503092_0050,61,43
