cif,formula
1501871,H94 C56 O12
1501876,H80 C84 Br4 N4 O16
1501880,H58 C56 N2 O4
1501887,H48 C76 N8 O10
1501891,H144 C140 N16 O24
1501894,H80 C100 S4 N8 O12
1501905,H100 C104 S4 N12 O24
1501906,H88 C80 O16
1501910,H104 C116 O8
1501911,H104 C92 N16 O20
1501915,H92 C128 N4
1501916,H64 C64 N8 O4
1501928,H44 C54 O14
1501929,P6 H108 C132 O18
1501930,P8 H144 C176 O16
1501935,H120 C152 N16 Cl8
1501938,H112 C96 O24
1501942,H38 C46 S2 N2 O6
1501943,H120 C120
1501945,P4 H128 C128 N4 O12
1501947,P2 H64 C64 N2 O8
1501948,H74 C98 N2 O2
1501952,H56 C76 N4 Cl12 O16
1501953,H28 C71.92 S12 N8 O16
1501955,H38 C38 N2 O2
1501961,H38 C40 N2
1501962,H84 C88 N4 O8
1501964,H108 C64 I8 N4 O20
1501972,H28 C30 Br2 N2 O6
1501973,H42 C40 Br2 N4 O12
1501976,H92 C96 N4 O20
1501979,H60 C48 S4 Cl4 O12
1501984,H116 C112 N4 O28
1501985,H100 C88 N4 O28
1501988,H100 C92 Br4 N8 O16
1501990,H42 C40 Br2 N4 O8
1502000,H50 C48 N2 O4
1502002,H212 C128 O33.5
1502016,H208 C240
1502018,H66 C54 S2 N2 O16
1502019,H144 C100 S4 N8 O36
1502032,B2 H62 C64
1502033,B4 H120 C124 N4
1502034,B4 H128 C124 N4 O4
1502036,H152 C192 N24 O16
1502049,H40 C32 N8 O12
1502056,H84 C84 N4 O16
1502059,H62 C50 N2 O12
1502062,H108 C138
1502064,H44 C54 S2 N4
1502066,H68 C60 S4 N12 O24
1502067,H116 C64 S4 N4 O16
1502073,H92 C108 S4 Br4 N8 O20
1502076,H72 C52 S4 N4 O4
1502078,H72 C72 S4 N8 O8
1502082,H32 C44 Br2 N2 O4 F4
1502085,H120 C104 N8 O16
1502091,H132 C120 N4 O16
1502092,H200 C188 N16 Cl8 O48
1502095,H96 C64 N8 O16
1502096,H54 C56 S2 N2 O12
1502097,H112 C120 S8 O24
1502108,H64 C52 O16
1502109,H80 C76 O16
1502111,H208 C120 O16
1502115,H64 C86.08 S8 O10
1502119,H136 C128 N24
1502122,Si2 H38 C60 O2
1502123,P2 H52 C66 N2 Cl4 O12
1502124,H68 C92 N12
1502127,H84 C116 I8 N12 O8
1502133,H116 C128 Br4 N8 O28
1502142,H120 Rh4 C84 Br4 N8
1502144,H68 C88 N4 O4
1502149,H84 C60 S4 Br4 N8 O8
1502151,H104 C76 S4 N8 O8
1502154,H72 C52 N4 Cl4
1502161,H176 C160 O16
1502165,Ni4 H216 C152 N8 O8
1502169,Si4 H96 C76 S4 N4
1502171,H156 C152 N4 O12
1502172,H112 C80 S4 O4
1502174,H56 C40 O4
1502198,P4 H144.0 C132.0 N8 O21.036 F24
1502199,H88 C60 O16
1502201,H38 C26 N2 O12
1502203,H50 C60 N2 O6
1502208,H60 C64 S4 N4 O12
1502213,H100 C68 N4 O28
1502218,Si4 H172 C120 O12
1502220,H40 C44 Cl4 O16 F4
1502221,H92 C72 Br4 N8 O8
1502222,H108 C92 I4 N8 O8
1502223,H100 C120 N12 O12 F24.0
1502233,H84 C112 N4 O8
1502236,H176 C240 N32 O40
1502240,H68 C76 S4 N4 O8
1502244,H52 C54 O6
1502245,H48 W2 C64 N4 O14
1502247,B4 H48 C56 N4 O8 F8
1502252,H30 C28 N2 O6
1502253,H84 C96 N4 O12
1502264,H200 C280 O8
1502272,H82 C46 N10 O6
1502273,H88 C92 N8 O4
1502274,H72 C96 N4 O8 F12
1502277,H60 C56 Br4 N8 O8
1502279,H80 C68 O16
1502280,H36 C60
1502281,H76 C122 Cl4
1502284,H52 C54 Br2 N4 Cl6 O4
1502286,H64 C88 Se4 O16
1502289,H20 C30 N4 O10 F4
1502292,H52 C60 N12 Cl8 O4
1502294,H104 C96 N8 O24
1502298,H52 C46 N20 O26
1502299,H92 C76 N12 O32
1502302,P4 H108 Rh2 C114 N2 O14
1502307,H100 C84 N4 O28
1502311,H72 C76 O8
1502317,H50 C46 S2 N2 O10
1502318,H44 C72 N8 Cl4
1502320,H24 C40 N2 Cl2 O4
1502325,H120 C104 N8 O28
1502334,H68 C96 Br4 O12
1502344,H72 C92 O4
1502345,H60 C68 Br4 O4
1502346,H192 C168 N16 O16
1502350,H128 C112 S4 O16
1502351,H92 C96 S8
1502353,H6 C20 S4 O12 F12
1502357,H46 C60 S2 N6 O4
1502363,H60 C64 N4 O12
1502377,Zr4 H228 C168 S4 N12 O4
1502379,H80 C88 Br16 N32 O16
1502383,H156 C132 S8 N4 O16
1502387,H104 C112 N24
1502390,H144 C128 N16 O24
1502392,H46 C42 N6 O10
1502393,H100 C104 S4 N4 O28
1502396,H52 C92 N8 Cl4 O20
1502398,H60 C88 Br8 N4 O4
1502399,H48 C52 N4.0 Cl4 O4
1502401,H82 C76 N6 O14
1502425,H96 C116 N8 O12
1502427,H38 C48 N2 O2
1502428,H80 C92 N8 O12
1502436,H38 C42 S2 N2 O4
1502437,B4 H144 C128 N4
1502441,H88 C68 O48
1502447,P1 H28 C23 N1 O3
1502453,H68 C88 Br4 O4
1502464,H36 C32 N12 O8
1502465,H76 C92 N20 O16
1502468,H36 C34 S2 N4 O4
1502471,H30 C36 Cl2 O2
1502477,H32 C30 S2 O2
1502478,H36 C36 N4 O2
1502484,H80 C120 S2
1502485,H72 C120 S2 F8
1502487,H160 C208 S4
1502491,H136 C128 N8 O40
1502497,H168 C164 O32
1502498,H80 C74 O16
1502500,H84 C76 N12 O28
1502501,H218.08 C152 N16 O77
1502508,H208 C176 N16 O32
1502509,Si4 H100 C88 S4 N4 O8
1502514,H92 C88 Br4 N8 O8
1502517,H48 C42 O10
1502520,H56 C36 O16
1502525,H56 C56 O24
1502526,H104 C100 Br4 N4 O20
1502528,H60 C76 N4 O20
1502533,H100 C116 Br4 N8
1502534,H108 C112 S8 N12 O28
1502538,H68 C84 Br4 O4
1502545,H92 C60 S4 N12 O8
1502554,H68 C72 S2 N8 O6
1502561,H192 C152 O40
1502567,Si4 H80 C288 O8
1502569,H112 C72 N12 O44
1502572,H50 C34 S2 Br2 N4 O8
1502577,H88 C64 O16
1502578,H48 C30 O6
1502584,Si4 H120 C96 Br4 N4 O16
1502585,H28 C36 N2 Cl2 O6
1502592,H72 C52 I4 N4 O8
1502594,H96 C108 S4 N8 O16
1502600,H96 C84 N8 O12
1502603,H132 C120 S4 N4 O20
1502611,H28 C28 O6
1502613,H160 C144 N16 O16
1502615,H48 C40 N4 O4
1502620,H68 C56 N4 O12
1502622,H200 C144 N8 Cl8 O20
1502631,H38 C38 N2 O10
1502632,H56 C76 N8 O8
1502637,H58 C62 N2 O10
1502641,H36 C42 N2 Cl2 O2
1502645,H56 C48 S4 N8 O4
1502648,H152 C176 S8 N24 O16
1502652,Cd1 H36 C18 N42 O18
1502658,H92 C108.0 N16 Cl12 O8
1502659,H36 C34 S2 N8 O4
1502667,B40 H104 C72 O4
1502668,H80 C128 N24
1502674,H56 C38 N8 O6
1502677,H168 C96 N8 O8
1502678,H40 C44 N2 O4
1502693,P4 H132 Ru12 C108 N12 O52 F24
1502697,H144 C192 S8 N48
1502700,Li8 Tl4 H60 C36 O24
1502705,H112 C92 N8
1502712,Mn4 H96 C200 N32 Cl16
1502723,H40 C32 N8 O4
1502730,H160 C128 N16 O8
1502731,H72 C56 S4 N16 O40
1502732,H68 C84 N4 O4
1502735,H168 C240
1502739,Fe12 H16 C48 O44
1502741,H16 C20 N2 Cl2 O2
1502749,H88 C96 N8 O12
1502752,H168 C144 N24 O32
1502764,H46 C44 Br4 N6 O6
1502765,H112 C160 O8
1502770,H68 C92 S8 I8 N4 O8
1502771,B2 H36 C50 N2 O2
1502773,Mg4 Si8 H212 C120 N12 O8
1502775,Hf4 H208 C128 N8
1502779,H156 Ir4 C164 Br4 N12
1502782,B2 H34 C58 I4 N4 F4
1502790,Si2 H88 C68 O2
1502792,H56 C60 O20
1502794,H192 C120 O52
1502795,H72 C58 O22
1502796,H120 C80 O8
1502798,H120 C80 O8
1502799,H128 C88 O16
1502806,H92 C80 N4 O16
1502808,H80 C64 O20
1502811,H76 C56 Cl4 O24
