cif,formula
4073387,P4 H100 Pd2 C126 S2 N2 Cl10 O6 F6
4073390,V4 Sn2 H64 C72
4073395,Sn2 H66 C48 O10 F2
4073399,P8 H140 Ru4 C100 Cl4
4073408,U6 H240 C192 Se12
4073419,Mg2 U4 H184 C116 N4 Cl8 O8
4073427,Mo4 H216 C176 S4 N12 O12 F12
4073435,Zr4 H192 C128 N8
4073439,Cu4 H16 C52 S4 N16 O16 F60
4073440,Ag4 B4 H32 C88 N32 F112
4073441,H192 Os4 C160 S4 N16 Cl12 O20 F12
4073444,Fe4 H84.0 C70.0 S2 N6 Cl4 O14 F6
4073445,Fe8 P12 H108 C60 S8 O24 F24.0
4073447,Fe4 P2 H46 C34 S4 O24
4073449,Si4 P4 H102 Ir2 C96 O2
4073454,Zr4 H88 C88 N4.0 Cl4 O12
4073459,P8 H160 Pd4 C170 N4 Cl4 O8
4073483,Ag20 H18 C60 S4 N2 O32 F48
4073484,Ag22 H40 C78 S6 N2 O45 F48
4073489,U4 Te8 H160 C128
4073504,P16.0 H152 Ru4 C56
4073512,H72 Rh2 C50 N2 O2
4073524,Al4 Cu4 H72 C112 O16 F143.76
4073526,Y4 Si8 P8 H208 C84 N12 O8
4073529,Al2 Si6 H90 Ru2 C48 N2
4073534,Sb10 H122 C104 Cl4 O18
4073535,Sb4 H120 C104 Cl8 O2
4073542,H248 Pt8 C144 N16 Cl40
4073547,K2 Mn2 B2 H90 C66 N8 O16
4073552,Cr8 H238 C156 S16 N10 Cl24
4073564,P4 H132 Pd4 C122 Cl20 O4 F4
4073567,H24 Ru10 C62 S4 O26
4073568,H60 Ru20 C130 S8 N4 Cl4 O48
4073573,P8 H148 Ru4 C132 O6 F24
4073585,P8 H304 Ru4 C184
4073589,Si4 P12 H160 Ir4 C60
4073594,Ag2 P4 H130 C88 S2 N2 O8 F6
4073596,P4 H140 C80 N8 O8 F24.0
4073598,H168 Ir4 C100 N8 Cl4
4073599,H120 Ir4 C76 N8 Cl4 O8
4073614,Cr4 H68 C52 I8 N4 O12
4073615,Mo4 H68 C52 I8 N4 O12
4073617,H80 W4 C56 I4 N4 O12
4073618,H54 Ir2 C34 N4 Cl4
4073620,P8 H128 Ru4 C160 Cl8 O12
4073622,Zn12 H232 C96 N48
4073632,Fe4 B40 P4 H116 C64 N4 Cl4
4073633,Fe4 B20 P4 H84 C56 N4 Cl4
4073635,Fe4 B40 P4 H120 C64 N4 O4
4073639,Lu2 Si6 H132 C64 N6 O6
4073643,Co2 H126 C102 N10 Cl4
4073652,B4 P8 H212 Os4 C100 N8 F16
4073653,P8 H136 Ru4 C124 O8 F24
4073658,Bi4 P12 H160 C192 F24
4073675,P4 H104 Pd4 C108 S4 N4 O24
4073679,Zr2 Si4 H84 C94 N4 O8.5
4073683,Fe4 H22 C24 S4 N2 O16
4073685,Ge8 H216 C164 O8
4073697,P4 H132 Pt4 C124 Br8 N8
4073698,H248 Pt8 C176 Br16 N24 O8
4073710,Si8 B4 H132 C76 O8
4073716,Sn3 H54 C48 Cl6 O6
4073719,Sn4 H108 C96 Cl4 O8
4073740,Zr4 P4 H132 C164
4073749,H96 Au4 C92 S8 N12 O16 F24
4073754,H208 Pd8 C194 N16 O16
4073756,H232 Pd4 C176 N16
4073759,H152 Pd4 C140 N16 O16
4073762,H112 Os2 Ru2 C98
4073767,Ni2 H68 C76 N12 Cl12 O4
4073768,Ni4 H136 C144 N24 O16 F8
4073772,Fe4 H132 C96 N12 Cl8 O4
4073777,H98 Rh2 C76 N4
4073778,H70 Rh2 C91 N4
4073780,H168 Ir4 C232 N12 O4
4073787,Fe2 P4 H48 C52 O4 F12
4073793,H120 C136 N16
4073796,H152 Rh4 C168 S4 N16 O12 F12
4073800,Mo8 P4 H156 C120 O24
4073804,P4 H104 Os2 C62 N2 Cl2
4073807,Ba2 Si4 P4 H92 C70 N4 O2
4073823,P8 H192 Os4 C92 N4 Cl4
4073828,Ti8 H232 C200 N8 Cl16 O8
4073832,H76 C76 Cl4 O24 F24
4073833,Cu8 H32 C52 N8 O20
4073840,H84 Pt4 C36 N4 Cl8 O4
4073848,B4 H156 C72 N8 O4
4073857,Sn4 B40 H268 C100 N8 Cl4
4073860,Cr2 B2 P2 H40 C93 Cl6.0 O6 F40
4073863,H60 Rh4 C44 Cl4 O8
4073867,B4 P8 H168 Pt4 C168 N4 O12 F16
4073869,Mo4 H120 C126 N8 O8
4073872,P2 H64 Ir2 C44 Br2 N8 Cl6 F12
4073878,P4 H60 C84 S12
4073890,H76 Pt4 C48 N4 Cl4 O4
4073892,H32 Pt2 C22 Br2 N2 Cl2 O2
4073894,P2 H54 Pt2 C48 N2 Cl8 O2
4073896,Ta4 P8 H188 C140 N4 F22
4073897,Ta2 P4 H88 C56 N2
4073900,P8 H160 Au8 C212 Cl8
4073901,P2 H47 Au2 C56 Br1 O1
4073907,Mn4 H64 C92 N16 Cl4 O28 F8
4073909,Mn8 H136 C184 N24 Cl8 O64
4073920,Ni4 P8 H168 C92 O4
4073921,Ni4 P8 H160 C72 O8
4073932,H88 Rh2 C74 N4 O16
4073935,B2 P4 H152 Os2 C104 N6
4073937,Zr4 P4 H192 Ir4 Au4 C184 S8 O8
4073941,Si24 H144.0 C48
4073944,Si44 H264 C88
4073950,H96 Pd4 C76 Br8 N12
4073951,H184 Pd8 C144 Br16 N24
4073964,Mo1 P2 H30 C40 O10
4073965,P2 H31 W1 C41 Cl3 O10
4073968,H180 W4 C128 N20 O4
4073969,H196 W4 C168 N20 O4
4073976,Si4 H156 Pd4 C140 N16 Cl44
4073977,B4 H100 Ru4 C88 N8 Cl8 O8 F16
4073980,P8 H212 Ru4 C204 N12 O8
4073984,Ti4 H188 C124 S8 Cl4 O8
4073987,Re8 P4 H76 C64 O32
4073988,Re4 P4 H76 C46 O14
4073990,Re8 P8 H184 C104 O24
4074000,Si4 H96 C76 O12
4074004,Si2 H42 C42 Cl2 O6
4074008,Fe8 H168 Pd8 C144 N8 O24
4074011,H74 Os2 C70 Br2 N8 Cl4 O4
4074014,Cu4 P4 H208 C180 N40 F24
4074019,Nb4 Si4 P8 H200 C120 N4 Cl4
4074020,P8 H168 Rh4 C200 N8 Cl4 O4
4074026,Na2 Al2 H162 C76.88 N12
4074028,Al8 H212 C140 N12
4074036,Fe4 B4 P4 H208 Rh4 C140 N4 F16
4074037,Fe4 P4 H160 C108 S4 N4
4074039,P4 H87 Pt2 C90.5 I4 N6 Cl5
4074040,P4 H80 Pt2 C50 I4 N4 Cl4
4074050,B80 H164 Ru8 C80 S24 O18
4074052,B80 H176 Ru8 C72 Se8 S16 O20
4074053,B40 H84 Ru4 C40 Se4 S8 O10
4074058,Si2 Mo2 H120 C76 N4 O2
4074060,H168 Pd4 C184 N16 O16
4074061,B4 H184 Pd4 C188 S4 N20.0 F16
4074063,Si4 P4 H156 Pd4 C126 S4 N4 Cl12 O20
4074068,Li16 H184 C144 N8 O16
4074070,Co4 Si4 H116 C76
4074073,P8 H200 Pd4 C204 S4 I4 N8 Cl8 O16 F12
4074078,Si2 P6 H122 Ru2 C122 Cl2 O3
4074082,Si12 H148 C64 N12
4074085,Bi2 H42 C42
4074086,P4 H120 C136 N4
4074089,Zr2 P2 H108 C117 N2
4074092,Zr4 Si8 H168 C184
4074101,P8 H200 Ru4 C136 O4
4074109,H144 Rh8 C120 N32 Cl8
4074112,Re2 B18 P2 H60 Rh2 Au2 C61 Cl2 O10
4074114,Re4 B36 P8 H188 Ir4 Au8 C200 Cl16 O20
4074119,Ni4 H136 C112 N16
4074120,Ni4 H104 C92 N16 Cl8
4074123,Ni8 H112 C112
4074126,H104 Pd4 C56 N12 Cl4 O8
4074131,Zn4 H32 C76 F40
4074132,Zn2 H16 C62 F36
4074135,B4 P4 H94 Ru2 C92 N2 F48.0
4074136,B4 H8 C96 N8 F60
4074139,V2 B4 H52 C120 N8 O4 F60
4074142,B2 Mo2 H52 C44 Br2 N20 O2
4074143,B4 P4 H124 W4 C88 Br4 N32 O4
4074149,Fe4 H188 C172 N28
4074150,Fe4 H236 C192 N12
4074156,Sb2 P4 H112 Rh2 C100 O20 F12
4074158,Zn16 H176 C64 O16
4074159,Li4 Zn12 H220 C96 O24
4074162,Ni4 H100 C56 Br4 N8
4074164,Ni8 H136 C80 Br8 N16
4074168,P4 H124 Ru4 C88 N4 Cl4 O4 F24
4074176,Ge2 P2 H96 Ru2 C104 S2 O2
4074200,Sn8 H96 C192 Cl64
4074201,Sn2 H24 C48 Cl16
4074203,Sn2 H72 C64
4074210,P2 H66 Os2 C56
4074214,Fe4 H96 C64 N8 O16
4074215,Li12 Si12 H204 C88
4074220,H132 Pd4 C132 S4 N12 Cl8 O40
4074231,Co4 Si8 H64 C46 O12
4074236,Co16 Si8 H88 C128 O52
4074245,Sb8 H104 C80 Cl16 O16
4074247,Sb8 H104 C80 I16 O16
4074250,Bi4 H100 C64 Cl8 O8
4074268,B2 P2 H66 Rh2 C58 O4
4074278,H72 Pd4 C68 S4 Br8 N8 O4
4074279,H46 Pd4 C58 S4 Br8 N4 Cl6
4074281,B8 P4 H152 Ir4 C84 N8 O4 F32
4074297,Ni4 P4 H244 C224 N8 O4
4074305,P2 H62 Rh2 C76 N2
4074308,Si8 H216 C96 N16 O4
4074310,Si4 H104 C48 N8 O4
4074312,Cr4 Si8 B4 P4 H204 C112 N4 O16
4074319,Fe8 H168 C152 S8 N8 O8
4074321,Li4 H112 C76 N4 O8
4074335,Sn4 H192 C128 N12 Cl4
4074339,Si2 H64 C64 S4 O20
4074340,Si8 H160 C144 N8 Cl8 O32
4074343,Na4 Li4 Si8 P8 H176 C148 N8
4074345,H84 Os12 C360 N12 O24
4074347,P4 H112 C80 N4
4074353,Ti4 P8 H240 C184 N8 Cl8
4074360,P4 H176 Rh4 C164 N12 Cl4 O8
4074362,H64 Pd4 C44 N16 Cl8
4074368,Ti4 H216 C120 N24 O8
4074375,Ni2 H100 C58 N16 Cl4 O10
4074376,Ni4 H96 C56 N16 Cl8 O8
4074378,B4 H32 C88 O8 F60
4074379,Ti4 H84 C72 N4 Cl16
4074384,Si8 B4 P4 H112 C36
4074387,Rb8 Si16 B8 P8 H216 C72
4074388,Cs2 Si4 B2 P2 H100 C36 N6
4074400,Ti4 H176 C92 N16
4074403,P12 H236 Pt4 C160
4074408,B4 P12 H240 Pt4 C164 Cl8 F16
4074415,P4 H80 Pd4 C144 N32 F24.0
4074420,Si4 H64 C40 I4 N16 Cl4 O8 F24
4074425,P8 H156 Pt4 C136 Cl12 O8
4074426,P8 H192 Pt4 C152 O12
4074427,P10 H144 Pt4 C146 O2
4074428,P4 H96 Pd4 C60 N16 Cl4
4074429,Fe4 H83 C73.5 I4 N12 Cl3 O4
4074435,Mo4 P12 H156 C72 N24 O24
4074437,Mo2 P4 H56 C30 N8 O4
4074438,U4 H132 C88 I8 N4
4074442,U4 H192 C136 S8 N24 O24 F24
4074449,H84 Pd2 C44 N8
4074461,P8 H208 Ru4 C200 N8
4074462,P8 H216 Ru4 C188 N8 O16
4074470,Si4 H72 Pt2 C38 N4 Cl4 O2
4074473,H78 Pd2 C68 S6 N6 Cl4 O12
4074480,Hf4 H156 C112 N4 Cl8 O9
4074482,Fe8 P8 H152 Pt4 C192 Cl8
4074488,Al4 Ga4 H168 C88
4074508,P4 H100 C60 O8
4074510,P4 H70 Pt2 C54 Cl10 O8
4074511,P8 H160 Pt4 C124 Cl16 O16
4074516,Al4 Si8 H248 C148 N8 O4
4074519,P2 H76 Pd2 C80 N2 Cl2 O12
4074526,P8 H240 W8 C200 N8 O16
4074536,Al2 Fe2 Si6 H82 C48 N2
4074538,Cr2 Ga2 Si6 H86 C52 N2
4074543,P8 H216 Pd8 C200 N16 Cl16
4074544,B8 P8 H170 Pd4 C170 N12 O2 F32
4074547,P2 H48 C42 Se2 N6
4074551,Al8 P2 H82 C46 Se2 N4
4074554,H58 Pt2 C44 N6 O2
4074555,H132.0 Pt4 C96 N12 O4
4074557,Fe8 H72 C104 Br8
4074561,H136 Rh4 C92 N8 Cl4 O20
4074564,Sb4 H128 Pd4 C120 S4 N12 F24
4074576,H112 Ir4 C92 N8 Cl4
4074577,H240 Ir8 C192 N16 Cl8
4074579,P8 H132 Ru4 C84 S8 N20 F48
4074580,Sb4 H84 Ru4 C52 S8 N4 Cl28
4074586,P8 H176 Pt4 C88 N16 O4
4074587,B2 H76 Pt2 C124 N10 F48
4074593,B4 H44 C84 F40
4074595,P12 H168 Pt4 C116
4074597,P12 H172 Pt4 C148 O8
4074603,H88 C44 S4 O16
4074604,B4 P4 H160 C96
4074609,Cr2 P4 H87 C88 N2 Cl3 O8
4074612,Cu4 P8 H120 Pt2 C140 N4 Cl4 O16.0
4074623,Ga16 H176 C144 N32
4074627,B8 H144 C112 N16
4074632,H80 Ru8 C112 O16
4074633,H176 Ru16 C232 Cl16 O32
4074634,H162.88 Ru16 C226.04 Cl4.08 O32
4074637,H144 Ru8 C144 O16
4074646,Cr2 H58 C50 S2 N2 O4
4074647,Cr4 H116 C100 N4
4074650,Cr4 H88 C80 N4
4074653,H32 Pd2 C36 Cl12
4074657,H132 Ir4 C84 S4 N12 O12 F12
4074658,Ti2 P4 H100 C54 N8 O2
4074659,Zr4 P8 H200 C120 N16
4074665,Fe4 P8 H120 Pt4 C168 S8 O16
4074686,P8 H176 Ru4 C178 N4 Cl4 O8
4074688,P4 H86 Ru2 C92 F2
4074715,Al6 H60 C210 F94
4074718,Al4 H60 C148 Cl4 F60
4074719,Al4 H60 C148 Br4 F60
4074720,Zr4 B2 H116 C188 F58
4074730,P8 H88 Os12 C156 O48
4074732,P8 H88 Os12 C188 O48
4074736,B2 P2 H100 Ru2 C108 N4 Cl4
4074737,P2 H70 Pd1 Ru2 C66 N6 Cl8
4074738,B4 P4 H224 Ru4 C228 N8 Cl8
4074742,B40 H80 C44.0
4074745,B80 H144 C36
4074753,Si4 P4 H128 Rh4 C152 N8 Cl16
4074756,Al12 Si8 H148 C48 O8
4074762,H100 Pt4 C92 N12 O32
4074766,Re4 H60 C72 Br4 N24 O14
4074771,P8 H200 Ru4 Rh4 C208 S8 Cl4
4074773,Si4 P8 H232 Ru4 Rh4 C228 S8
4074783,Zr4 H184 C136 N8
4074787,Zr2 H84 C52 N4
4074789,Ti4 H180 C98 Br4 N16 O10
4074809,Hf8 H208 C144 N8
4074811,P2 H70 Os2 C46
4074813,B2 P2 H118 Os2 C97 Cl2
4074814,P8 H248 Au8 C152 N8
4074821,Fe12 H132 C132 N4
4074822,Co4 H76 C84 N20 Cl4 O16
4074823,Co8 H192 C184 N40 O32
4074834,H42 C38 N2 O4 F12
4074842,Al4 H276 C176 N12
4074850,B4 H96 Rh4 C64 S8 N16
4074852,P2 H48 Rh2 C34 S4 N8 F12
4074853,P4 H52 Rh4 C48 S8 N16 Cl12 O8 F24
4074885,Sb2 P2 H72 Ru2 C76 N2 Cl2 O2 F12
4074886,Sb3.996 P4 H152 Os4 C136 N4 Cl4 O4 F23.976
4074927,H144 Ru4 C157 Br16 N16 O17
4074932,H120 Pd8 C88 I8 N16 O8
4074949,P8 H188 Os4 C236 S4 Br4 O16
4074954,B4 Mo4 P4 H248 Rh4 C192 S8 N4 O4
4074956,P8 H168 Rh4 W4 C96 S8 N4 O4 F24
4074959,B36 H108 C96 N8
4074969,Fe4 H108 C156 N12 Cl12 F48
4074998,B4 H124 C152 N16 O4
4075001,Si4 P4 H104 C88 I4
4075005,Re4 H92 C100 N8 O20
4075006,Re2 H38 C58 N4 O10
4075007,Re8 H168 C168 N16 O64
4075009,Si8 Mo4 As4 P4 H92 C56 O8
4075040,Fe8 H28 C38 S8 O24
4075046,H72 C80 S8 N8
4075047,H136 Ir8 C120 S8 Br8 N8
4075051,P8 H152 Pt4 C176
4075053,Si2 P2.0 H78 Pt2 C76
4075059,Al2 P2 H70 C44 N4
4075062,H56 C84 S8 N8
4075067,Fe4 P12 H124 W4 C100 S4 O36
4075072,Si4 B4 H212 Ru4 C212 O4
4075078,Ag4 H144 C108 N8 Cl4
4075080,Ge2 H92.268 C68.0 O6 F6
4075091,Zr4 P4 H196 C132
4075092,H120 Pt8 C96 N24
4075095,P8 H264 Ru8 C160 N16
4075096,P8 H148 Pd4 C172 S4 N4 O4
4075103,P4 H152 Ru4 C140 N16 Cl4 O12
4075105,P2 H88 Ru2 C94 N8 Cl10 O4
4075124,Fe4 B8 P8 H172 C164 N36 F32.0
4075134,Ni4 P8 H100 C116 Br8 N12
4075135,Ni2 P4 H86 C43 Br4 N6 O1
4075136,P8 H178.456 Pd4 C91.228 N12 Cl22.456
4075137,P8 H116 Pd4 C136 S4 N16 Cl4 O30 F12
4075147,Sb4 H140 Ru8 C88 S8 Cl16
4075148,Bi4 H140 Ru8 C88 S8 Cl16
4075162,H96 Rh4 C68 I4 N16 O8
4075166,Ta6 H60 C54 N6
4075167,B40 P4 H128 C68 N4 O4
4075172,H124 Ru4 C100 N8 Cl12
4075175,Mn4 Ge4 H188 C144 N8 O12
4075179,H78 Ru2 C74 N6 Cl4
4075183,H120 Rh4 C76 N8 Cl4
4075184,P2 H74 C40 S2 N4 O2
4075185,H120 Ir4 C108 N8 Cl4
4075186,Si2 H56 W2 C48 O4
4075191,P8 H256 Pd8 W8 C152 O16
4075195,Nb8 H96 C48 S12 Cl24
4075196,H140 W4 C170 Cl4 O4
4075204,Co4 B18 P4 H80 C84 N2 O10
4075206,Co16 B56 H120 C80 O48
4075208,Co12 Cu4 B32 P8 H152 C192 O28
4075210,B20 H58 C30 N2
4075216,Hf4 B36 H208 C92 N16 O4
4075225,B8 H124 Pt4 C86 N24 Cl4 O4 F16
4075228,Mg4 Si16 H192 C92 O8
4075230,Mg4 Si24 H232 C88 O16
4075231,Mg4 Si12 H116 C44 Br4 O4
4075232,Mg2 Si12 H124 C64 O4
4075242,H34 Ru12 C53 N4 Cl2 O26
4075243,H64 Ru24 C108 N8 O56
4075244,H80 Ru24 C116 N8 Cl12 O52
4075247,H48 Ru24 C100 N8 O56
4075249,H64 Ru20 C112 N8 O48
4075252,Fe4 Sn8 H120 C164 N24 O4
4075264,H136 Pd4 C152 I8 N24 O8
4075266,H76 Pt4 C80 N12 Cl16 O4
4075272,P2 H24 Rh2 C26 N8 Cl8 O4 F12
4075276,Ni2 P8 H64 C24 O18 F12
4075277,Ni2 P6 H64 C24 Br2 O18
4075279,Ag8 H24 Au8 C112 N8 F80
4075282,Ni4 P4 H72 C64 O6
4075283,Ni4 P8 H120 C100 O4
4075284,Ti4 H100 C80 N4 Cl8
4075285,Ti2 H48 C40 N2 Cl6
4075297,P4 H84 Pt4 C96 O4
4075299,B40 H80 C44 O4
4075300,B80 H144 C88
4075314,Ag4 H40 C36 Br4 N8
4075323,Si16 B40 H224 Ru4 C104
4075324,Si8 B80 H240 Ru8 C120
4075326,B10 H100 Ir2 Ru4 C60.0
4075332,P8 H208 Os4 C128 N4 Cl4 O4
4075341,B2 P4 H86 Rh2 C130 S2 O2 F40
4075354,H28 Ir2 C26 O2 F4
4075355,Y2 Al4 H138.04 C81.02 N4 O2
4075360,B40 H168 Ru4 C144 N4
4075365,Fe2 Cu2 H48 C56 N12 Cl2 O16
4075368,Ta4 H92 C56 Cl8 O12
4075373,Ta4 B4 H84 C128 Cl8 F60
4075379,H144 C236 Cl8
4075382,Ti4 H116 C100 Cl4 O16
4075387,Li2 La2 H152 C104 O10
4075389,La2 B4 H210 C168 O14
4075391,Fe4 H32 C60 N4 O28
4075396,H144 W4 C152 N12 Cl12 O8
4075399,P4 H96 Ir4 C64 F32
4075426,H76 C72 N8 O4
4075427,H100 C96 N12 O4
4075428,H72 C78 N8 O4
4075433,Ni2 H144 C132 N8 O8
4075442,P8 H120 Pt4 C148 I12 N4 O4
4075445,Cr4 H116 C132 Se4 N4 O32
4075447,Cr2 H64 C70 N4 O16
4075449,Ni4 P8 H112 C132 N8 Cl4
4075450,Ni4 P8 H164 C88 N8 Cl4
4075451,P8 H156 Pd4 C144 N16 Cl4 O8
4075452,P8 H108 Pd4 C132 N12 Cl4 F12
4075456,Si4 Mo4 H44 C32 O16
4075457,Fe4 H62 C68 N4
4075461,P4 H172 C148 S4 N8 O4
4075462,P4 H224 Pt4 C188 S4 N8 Cl28
4075467,Ti4 H172 C88 N28
4075475,Be4 H112 C80 O4
4075480,P4 H108 Rh4 C112 S4 N4 O4
4075484,Zn2 H44 C40 N4 F20
4075486,Zn4 H56 C64 N8 F40
4075488,Zn2 H60 C80 N4 F20
4075497,Sn4 H62 Os2 C78 O6
4075503,Fe4 Sn4 B44.0 P12 H202.268 C168 Cl8
4075506,Cr2 Fe2 Sn2 B22 P6 H132 C108 O14
4075512,Li2 Mg2 H126 C82 O6
4075516,B4 P4 H116 W4 C80 N28 O8
4075519,P12 H234 Rh6 C126 O12
4075520,P4 H68 Pt2 C100 F20
4075528,P4 H200 Ru4 C152 N20 F24
4075530,H208 C168
4075539,Sn4 P8 H160 C96 O8 F48
4075542,Sn4 P8 H160 C110.08 O16 F48
4075543,Sn2 P4 H110 C68 N6 O4 F24
4075547,P4 H144 C88 N4 O4 F24
4075550,Ag4 H40 C92.0 N12 F72.0
4075554,Sn4 H144 C100
4075556,Zn8 H208 C136 N16 O12
4075569,Fe4 B4 H120 C96 Br8 N4 O8
4075579,B18 H96 Ir6 C54 Se4 O2
4075583,Mo8 H172 C140 S8 N12 O4
4075585,Mo8 H188 C164 S8 N12 O4
4075595,H120 W4 C88 N4 O8 F4
4075596,Si6 P6 H182 Pt6 C227 O6
4075598,Si2 P2 H54 Pt2 C69 N2
4075601,P4 H86 Rh2 C44 N12 Cl4 O4
4075603,Sn4 P8 H236 Os4 C152 Cl4 O16
4075610,H80 Pt4 C80 N16 Cl8 O60
4075615,Si4 P4 H52 Pt2 C28 O2
4075616,P8 H188 Ru4 C176 N8 Cl4
4075621,B40 P8 H200 Ru4 C192 O2
4075623,B40 P8 H208 Ru4 C188
4075627,Re4 B36 P8 H176 Rh4 C196 N4 O24
4075629,Mn4 B36 P8 H176 Rh4 C196 N4 O24
4075640,Ni2 P4 H72 C30 O2
4075647,Sn4 H80 W4 C88 Cl8
4075655,Ca4 H192 C152 N8
4075658,P8 H136 Pt4 C116 O4
4075662,P8 H124 Pd4 C132 N4 Cl8
4075663,P4 H78 Pd2 C74 Br2 N2 Cl2 O4
4075665,P8 H124 Pd4 C132 Br0.652 N4 Cl7.348
4075668,Ni4 P8 H156 C148 Br8 N4 O8
4075669,Hg6 H4 C42 O2 F24
4075670,Hg6 H4 C44 O6 F24
4075674,P8 H40 Pt4 C184
4075683,H56 Ru12 C64 N8 O32
4075687,P4 H96 Pd4 C106 Cl4 O4
4075688,P2 H60 Pd2 C59 Cl1.98 O2
4075696,P8 H160 Pt4 C120 Cl8
4075698,Li8 P4 H220 C184 N8 O8
4075701,Co16 B80 H200 Ir8 C136 Se16 O40
4075702,Fe8 B80 H200 Ir8 C120 Se16 O24
4075703,K4 Si12 Ge4 H216 C104 O24
4075708,Sn2 Mo4 P2 H94 C84 O4
4075709,Mo12 P4 H148 C128 O20
4075712,Mg4 Si8 H224 C128 N8 O8
4075721,Fe1 H14 C16 Se2
4075723,Fe16 H56 C96 Se8 S8 O32
4075749,H188 Ru8 C140 N12
4075752,Si8 H88 C80
4075756,Cu8 H80 C96 O32 F24
4075761,Al4 H164 C116 I4 N8 Cl4
4075769,Si4 P8 H136 Rh8 C144 N8 O12
4075777,B2 P8 H142 Rh8 C180 N8 Cl8 O8
4075780,Cr4 H176 C140 N20 Cl8 O20
4075791,Sc2 B2 H95 C111 N4 F40
4075802,Si4 H92 C60 S4.0 N16 O20.0 F36
4075803,Si2 H40 C26 N8 O4 F12
4075804,Re4 B4 H120 C100 N32 O16
4075805,Re4 B4 H120 C108 N32 O12
4075806,Re4 B4 H120 C96 N32 O12
4075812,Zn4 Si8 H144 C80 S8 N8
4075823,Fe4 B32 H64 C32
4075824,Fe4 B32 H64 C32
4075828,P4 H96 Pt2 C90 Br4 N4
4075833,Si8 P4 H132 Pb4 C96 N8
4075842,Ni4 H172 C128 N8 Cl4
4075843,Ni4 P4 H80 C44 Cl4
4075845,H92 C64 N4
4075846,H176 Pd4 C124 N8 Cl8
4075857,H102 Pd4 C64 N18 Cl8
4075859,Ge4 H100 W4 C123.2 S4.0 N8 O32 F12
4075862,Re4 B40 P8 H168 C164 N4 O12
4075863,Mn4 B40 P8 H168 C164 N4 O12
4075865,Re2 B20 H22 C8 N2 Cl2 O6
4075870,U2 B2 H118 C88 O2
4075871,P12 H92 C108
4075873,Zr2 P4 H112 C84 Cl4
4075877,B4 P8 H140 C224 N4 F60
4075878,B2 P2 H38 C75 Cl2 F30
4075879,B4 P4 H116 C168 F60
4075881,B4 H98.2 C144 N4 F60
4075884,Si4 Mo2 H126 C108 N14
4075885,H56 C60 N16 O8
4075891,P8 H180 Ru4 C156 Cl4
4075892,P8 H132 Ru4 C156 Cl4
4075897,Al2 H86 C58 S2 O4
4075901,H36 Au4 C20 Br12 N4
4075902,H88 Au4 C56 I20 N8
4075903,H72 Au8 C40 I16 N8
4075908,Ni2 P2 H56 C62 Cl2
4075912,Ta4 H152 C100 N4
4075914,Sn2 P2 H50 C44 Se4 O4
4075915,Sn2 P2 H58 C48 Se4 O4
4075918,Fe2 P8 Ru2 H168 C164
4075932,P4 H204 Ru4 C144 Cl8 O4
4075933,H176 Ru4 C156 N8 Cl8 O4
4075935,P4 H220 Ru4 C176 Cl8 O4
4075949,Zr4 P4 H100 C128 Cl8
4075951,H112 Pt4 C144 N16 O16
4075953,P8 H156 C108 Br8 N4
4075954,P8 H152 Pd4 C104 N4 Cl4
4075970,H28 Os12 C72 N8 O36
4075972,H24 Os16 C84 N4 O44
4075973,In18 H162 C54
4075974,In8 H72 C24
4075979,Ga2 Si6 H56 C28 N2 Cl4
4075981,In4 Fe2 Si12 H168 C111 N4 Cl4
4075992,La4 H120 C80 Se4
4076006,Si8 H232 C196 O4
4076011,H144 Rh8 C144 N8
4076014,H52 Ir2 C44 N2
4076019,Na4 Zr4 B40 H204 C84 N4 Cl4 O16
4076033,Fe4 P8 H176 Ru4 C212
4076037,Fe4 P8 H192 Ru4 C192
4076038,Fe1 P4 H78 Ru2 C88
4076042,Fe4 P8 H160 Ru4 C200 N16 Cl8
4076043,Fe4 P8 H160 Os4 C200 N16 Cl8
4076048,Si8 P8 H144 Pt4 C72
4076049,Si8 P12 H144 Pt4 C68
4076052,Si16 P8 H160 Pt4 C88
4076059,P6 H74 Ru2 C84 S2 N2 Cl6 O4 F12
4076061,P4 H80.004 Ir2 C82.002 S2 N2 Cl12.004
4076076,Si8 H224 C184 N32 O16
4076081,P8 H208 Pt4 C192 N8 Cl24 O32
4076084,Li4 Si8 P4 H232 Ru4 C172 N8 O4
4076096,Zr2 H54 C38 N2 O2
4076100,Ti4 H60 C56 N4 Cl8 O4
4076102,Ti8 H104 C104 N8 Cl16
4076107,B40 H160 Rh8 C88 S8
4076112,P4 H256 Ru4 C192 N16 Cl4
4076115,P4 H260 Ru4 C196 N16 O4
4076121,Ga4 Fe8 H120 C96 Cl4 O16
4076122,Ga4 Fe8 H120 C96 I4 O16
4076127,Ga2 Fe4 H20 C28 I6 O8
4076129,Ga2 Fe2 H30 C24 I4 O4
4076131,Ga8 Fe8 H96 C128 I16 N8 O16
4076132,In8 Fe16 H80 C112 I8 O32
4076137,In2 Fe4 B2 H84 C112 O8 F48
4076141,P8 H140 Pt4 C80 Cl4
4076147,Fe8 Hg16 P4 H148 C180 Cl32
4076150,Hf4 B36 H144 C96 N4 O4
4076154,P8 H176 Au4 C216 N4
4076155,P8 H136 Pd4 C124 S8 Cl8 O32 F24
4076167,Al4 Si4 H216 C146 N36
