name,a,b,c,alpha,beta,gamma
4022180,10.249798401894564,9.546687429796046,8.924329902729859,94.46650486700823,90.67642075783303,94.08068228935686
4113546,18.462121693495234,15.774918286674845,7.931289820530622,89.17892867182765,88.83708804357143,92.17339525801866
4304816,11.797769031983478,11.768196221888852,10.93620964600651,109.32003512992611,103.96355500350899,103.82664848756457
2003875,17.47866908282255,12.933830937669354,6.75349094710579,92.78949754195264,89.34322033454933,92.95929235782624
4060348,13.791953031500874,12.976694026134872,12.63877097061032,90.57594115087885,89.09976687750878,92.93431500918693
2227001,13.87008210648196,12.092093373385898,7.233413521644672,95.42111758140136,89.4598889647395,91.8310519106538
4030165,16.911444970646954,13.502641246189693,7.456654823223128,93.95690690654916,90.57674196799925,92.51794397891986
4506301,18.884721187203745,11.077945595885307,7.876764397073237,92.33599877643577,92.38737013786084,90.27308764999943
4125311,18.634861462326032,11.42739019405653,9.734208992726753,91.00595359526537,91.99643798757378,90.95940347433269
2239603,19.392437276749526,12.00166521772444,6.333155516243999,92.86848826211873,91.88565219919292,93.1269682558944
2230184,21.91731221229989,10.019105735165995,7.971754854552938,92.35641566814361,92.979573202161,88.28251379271151
2010356,26.274217484411466,9.797641242712077,8.768421794918265,89.67929202763116,93.38447872820353,89.44634066047837
4302034,18.843494503330138,15.58962984416711,8.291343788228264,89.95712146883591,90.58606737818594,92.18645749280826
8000149,25.63024139808624,12.797303459455922,12.806108574697117,89.47396340964909,94.22307514388471,88.44830138831652
2004454,12.621478802977418,10.808964214969645,9.5392462624137,99.57060798064298,99.53576484364449,97.73194094950597
4029732,17.87816854823596,13.29894793509043,6.978865660807952,92.42591197844698,89.68156886546845,92.285234073387
2010827,21.023746459593728,10.543147303614715,7.029740675108723,92.36149948449867,90.71138301489239,90.97129548284308
4030958,14.655241106777336,10.95478740760714,7.344885126413664,94.37900409485178,90.42275563604213,94.8824806791701
4321811,11.866457135305781,11.155974634346503,6.196752317199679,94.32738939928622,87.3283281191466,91.59298791822394
1504190,21.217526735075715,9.90648719790305,7.638408593545855,92.71747138901127,91.74795996344301,88.94663429097912
2228253,23.991176267323613,9.389445303694892,5.0890552317497635,87.17694157543002,78.99330415750512,91.53752970365562
4023915,14.660536319093904,12.498749163454354,6.249883829948185,93.04512378509372,87.28541749569946,104.4151759789568
4103602,15.551023787860306,9.477656659215665,7.894431513381503,94.11019672322203,91.90698413685142,90.5109422142355
2213262,22.603156293322762,10.091200798705714,7.484374828254369,92.70303406735266,90.94456465658828,88.3163942632951
4322571,22.654763797421282,9.604036940626182,8.218279037586106,92.07536591171636,92.03027273916166,90.76578228854122
2205011,15.716837729849635,9.722213047861144,7.957539966180136,95.6191768505585,92.77569254868831,91.5363964950997
1506651,18.01912271259785,10.292018706441132,8.687235342956189,91.37375741610278,94.6878373678033,91.54983636392203
4316085,17.050218009157255,15.114142521587878,8.992376466555404,91.50608993342323,91.41311301812846,92.41914878225357
4084425,19.12112901401621,14.906019526149658,9.225217213585916,90.61688465091653,92.30655350867735,92.92366670244861
4074603,19.55005702372671,11.690680604714963,6.327219130186426,92.94264414040764,91.19089709051843,92.9134211030049
2216912,15.092097277827223,14.058123651806364,13.2148537738741,90.06218803393972,90.61046450287064,93.9803412310826
4084194,20.74043914969117,8.155390053762666,6.0040532167085265,87.98557338353322,86.30106077112103,86.32023938830781
7213210,20.319391478850825,12.401686754037932,5.935977407207662,91.73437344812334,88.85924846197838,92.69753889672117
2237772,29.285978107724954,10.690819370939233,7.245064177442661,90.76704260000047,88.87288098655095,86.69490368109577
2204687,17.936064877656573,14.000620949382181,7.431025959608133,93.37596952564456,90.87533436026318,92.47145521534503
2208440,16.86573118045561,9.542162281608135,6.043949219157017,94.00088163609284,88.71574119231562,89.9313381517449
7218474,20.17116363625263,16.537105272679295,8.139472842438307,90.4919972171559,92.48819746221731,92.46179607772977
2241142,17.967934803795604,11.274002655321054,7.3334018949182,92.20676914241554,90.73469058369471,94.03358518544556
4322924,14.006812995082052,12.85884460755939,12.555203567272988,90.95047885229368,90.0779352706588,93.81049352000991
2220619,23.089482634569436,7.510468577516441,5.798940343931222,85.09316425228687,84.11804782051324,81.79926448323486
4028983,17.752737135395538,10.092129170159096,6.055649691997672,94.13923042727531,90.17785974004997,90.15284618565276
2000797,18.67506337945701,14.42181693174711,8.014542880840555,91.36508256806637,91.3997965412903,92.88699684437213
2012387,19.86043148246583,10.303333210157069,6.674129466377034,92.6355029992326,90.16293097968038,91.81589983509593
4111341,13.207298385029576,10.522927174702573,9.098539036248663,93.64924889199649,92.42253626431906,91.86047220598705
2011132,27.593064549713496,9.814066568378509,8.685271499425367,90.96680790092286,94.73469117261202,87.77756083920436
2012403,14.294905184542982,12.185476664540912,6.966467063647032,94.12006251634084,89.73709483739754,100.14299535830901
2237776,20.29094591850614,14.965010845853694,8.957154063569973,90.7579049183105,90.51818328965182,92.72513160934913
4331985,17.019876714530298,9.872764747108468,7.501799740175333,93.99597826250714,92.79571742211645,90.37415406858275
2007805,13.688500011893376,11.885524538997538,8.494526282012869,93.05593870146551,89.95136069710777,92.28095772397987
2015151,16.895834635800124,10.407379841550423,9.423080199019894,91.13694794025922,93.92918902697693,91.15861149524183
4064935,26.54971469837815,11.574308268990949,9.803251190110844,93.72382324608448,94.9301550565177,87.6656548971437
4068604,23.167665201104576,10.914466565495525,9.003063468285823,93.58679444149537,93.35066857664762,89.98047150420953
4313606,18.893434223633427,11.944847993570862,7.364144044951672,92.59037929463953,90.67742410554929,91.94867504905882
2203215,27.547205365493156,14.539838638911412,7.399368080268324,91.34781272828555,95.15949311343884,92.29043207991273
4074201,11.470020217415952,10.92216772345295,9.673967883040108,94.35567653795367,90.70399916242793,94.47656816684002
4112639,16.87849378162376,16.175164408934982,15.416308944849622,90.10699046363516,90.19746980310454,95.79139620695983
2106004,17.976613213771508,12.55212699047255,7.470283634945788,93.17040278229382,92.94774003565877,96.3246097061494
4027357,18.32688265432364,11.3882004444964,7.688845857197833,92.1052990691487,91.90424793505183,92.5545424525923
4112031,23.224234131072098,17.76219733447302,8.56328519209513,90.09499384204258,93.47368587625411,93.83610693732957
4102865,23.79645468575669,9.352733028061506,5.285193853132679,88.73210939766334,81.93685074948071,91.27839987208625
2007774,16.235143338414048,8.298345660351165,7.829796766127797,93.40518221607029,91.67080620360537,86.62909656654851
4338988,14.373871881044089,13.513837727107633,12.713816997965807,90.24764536531306,89.85756195920084,95.4543123848214
2219577,15.205241433938253,8.416538325047744,7.7196756773198025,92.71531259243254,91.01108785667633,87.88323198381511
4029303,18.880563526256754,12.516801887188688,6.808179451004786,92.00566242219332,89.37773174122324,93.03611829659667
2020092,15.010474488505892,9.604275524408902,8.024408219223025,95.98962524979315,92.95239832104143,91.25363312376376
