name,a,b,c,alpha,beta,gamma,rmse
4103231,14.264793766455357,12.664127027847908,11.416321341757017,90.96832737592233,92.26031706909903,89.62217996143028,0.12329023686330715
1504512,19.33653092134486,12.20560936106032,6.384336036753725,92.96633997820757,87.345713589892,90.5337940580694,0.12418945022600428
7151832,15.533631209429497,7.80751347796664,6.57728926686087,90.38541170206074,91.13483739563709,87.33632609675738,0.12583803634213653
1502223,26.81033988682715,13.47901654497359,7.338981715031584,95.3581258624281,86.3874227296774,90.87836828532323,0.12614452270635634
7205922,18.57174874677657,7.571883659009299,5.931403618127426,96.71696202462715,92.09529824130645,88.5765725264173,0.12886715849359634
2227688,12.805156020178927,9.81773089341893,7.287575128624409,95.08324751988044,91.83948748960236,91.47561002723047,0.12957539689414313
1504657,17.467624685979377,14.440029093058442,7.970028534380735,93.92006657095793,92.13654528764296,91.3248021540019,0.13127425929383887
2008470,24.69966949578825,11.832252192319043,8.871774769571601,94.25707568130399,89.94364260039785,90.1492292561207,0.13468197066323526
2240112,18.639604181100843,18.354899570046587,10.338853000689074,93.29878442108784,93.13200980112542,88.68859904969489,0.1350799301411606
7220055,18.669276330001217,10.036398085208946,8.903521909429374,92.50977755215222,93.18873304253006,89.3657923749774,0.1354634338312788
2215558,19.691595296688693,10.26972469801237,4.429513113121869,91.72172538104309,79.78587478334784,91.09027101376998,0.1360474094386411
1517506,13.228432116976935,9.298566883512857,7.813894586329174,93.79170007483822,93.384010704659,90.99158273340716,0.13614245064997832
4324164,11.909064075000535,9.960953183011403,8.835442212231106,94.7005385635748,97.23967609214739,99.7629692443106,0.1369489609724669
1503522,28.408725068406962,7.955069773807896,5.840154562669633,91.82269855308282,81.1370627754536,85.78834287370927,0.13699580473109849
4028747,12.559618113551835,11.285979174056129,10.540227968195467,93.15313167198843,91.8417680800266,90.54572011870484,0.1369995930808444
7108094,22.70371185523947,7.579480554732633,5.381454333848946,95.75598443548651,89.94036076540753,89.38929933054112,0.13807474003089315
1501776,10.478440678265985,9.136239404133407,5.005661549089709,94.81444410692941,94.52801503200142,92.95494224890179,0.13827612425383906
2213115,14.356479361694248,8.653067681036427,6.1089510064962615,93.09824662308655,94.58085887509202,91.62745599075555,0.1396025917956263
